table,columns,model_status
w_insured_engineering_d,group_name,TBU
w_insured_engineering_d,location_insured,TBU
w_insured_engineering_d,risk_type,TBU
w_insured_engineering_d,program,TBU
w_insured_engineering_d,ri_risk_level,TBU
w_insured_engineering_d,commencement_date,TBU
w_insured_engineering_d,is_maintenance,TBU
w_insured_engineering_d,have_maintenance_period,TBU
w_insured_engineering_d,maintenance_period,TBU
w_insured_engineering_d,car_ear,TBU
w_insured_engineering_d,total_types,TBU
w_insured_engineering_d,sub_types,TBU
w_insured_engineering_d,type_of_work,TBU
w_insured_engineering_d,type_of_work_details,TBU
w_insured_engineering_d,insured_objects,TBU
w_insured_engineering_d,nature_of_business,TBU
w_insured_engineering_d,w_integration key,TBU
w_insured_engineering_d,w_valid_from,TBU
w_insured_engineering_d,w_valid_to,TBU
w_insured_engineering_d,w_valid_flag,TBU
w_insured_engineering_d,w_created_time,TBU
w_insured_engineering_d,w_updated_time,TBU
w_insured_engineering_d,w_job_id,TBU
w_insured_airport_d,w_insured_airport_id,TBU
w_insured_airport_d,w_insured_id,TBU
w_insured_airport_d,insured_src_id,TBU
w_insured_airport_d,full_name,TBU
w_insured_airport_d,dob,TBU
w_insured_airport_d,id_type,TBU
w_insured_airport_d,w_integration key,TBU
w_insured_airport_d,w_valid_from,TBU
w_insured_airport_d,w_valid_to,TBU
w_insured_airport_d,w_valid_flag,TBU
w_insured_airport_d,w_created_time,TBU
w_insured_airport_d,w_updated_time,TBU
w_insured_airport_d,w_job_id,TBU
w_insured_liability_d,w_insured_liability_id,TBU
w_insured_liability_d,w_insured_id,TBU
w_insured_liability_d,insured_src_id,TBU
w_insured_liability_d,location_insured,TBU
w_insured_liability_d,risk_type,TBU
w_insured_liability_d,program,TBU
w_insured_liability_d,insured_object,TBU
w_insured_liability_d,territorial_limit,TBU
w_insured_liability_d,jurisdiction,TBU
w_insured_liability_d,insured's_premises,TBU
w_insured_liability_d,insured_products,TBU
w_insured_liability_d,is_public_information,TBU
w_insured_liability_d,is_product_information,TBU
w_insured_liability_d,business_insured,TBU
w_insured_liability_d,product_insured,TBU
w_insured_liability_d,professional_business_practice,TBU
w_insured_liability_d,contract_type,TBU
w_insured_liability_d,project_name,TBU
w_insured_liability_d,project_location,TBU
w_insured_liability_d,poi,TBU
w_insured_liability_d,number_of_professiona_ staff_employed,TBU
w_insured_liability_d,value_of_construction_works,TBU
w_insured_liability_d,value_of_consulting_contract,TBU
w_insured_liability_d,location_of_risk_territorial_limit,TBU
w_insured_liability_d,rating_type,TBU
w_insured_liability_d,rating_percentage,TBU
w_insured_liability_d,w_integration key,TBU
w_insured_liability_d,w_valid_from,TBU
w_insured_liability_d,w_valid_to,TBU
w_insured_liability_d,w_valid_flag,TBU
w_insured_liability_d,w_created_time,TBU
w_insured_liability_d,w_updated_time,TBU
w_insured_motor_vehicle_d,w_insured_motor_vehicle_id,TBU
w_insured_motor_vehicle_d,w_insured_id,TBU
w_insured_motor_vehicle_d,insured_src_id,TBU
